ID,Term,Original definition,Claude Sonnet 4.6,GPT-4,Llama 3.2 3B,Gemma 9B
120,dermatosis medicamentosa,"Reacciones cutáneas adversas producidas por la ingestión, uso parenteral, o aplicación local de medicamentos. Éstas pueden asumir varios patrones morfológicos y producen diversos tipos de lesiones.","Problema de piel causado por un medicamento. Puede aparecer al tomar el medicamento por la boca, al inyectarlo o al aplicarlo directamente sobre la piel. Se manifiesta de formas muy distintas: manchas, granos, rojeces, ampollas u otras alteraciones visibles en la piel. Si aparece alguna de estas señales tras empezar a tomar o usar un medicamento, es importante consultar con un profesional sanitario para valorar si existe relación con el tratamiento.","Es un problema de la piel que aparece como efecto no deseado de algunos medicamentos, ya sea al tomarlos, recibirlos por inyección o aplicarlos sobre la piel. Puede causar enrojecimiento, picor, manchas, ronchas o ampollas, y su aspecto puede cambiar según la persona y el medicamento. Suele mejorar al dejar el fármaco y con el tratamiento indicado por profesionales sanitarios.","Diferentes reacciones cutáneas no deseadas que pueden aparecer después de tomar ciertos medicamentos. Estas reacciones pueden afectar la piel de manera diferente, como formar bultos, picazón o erupciones. A menudo, estas lesiones se desarrollan cuando se toman algunos medicamentos durante un período prolongado. Es importante informar a los médicos sobre las reacciones adversas para poder ajustar el tratamiento y minimizar el riesgo de complicaciones.","Las dermatosis medicamentosas son reacciones adversas que pueden ocurrir en la piel como consecuencia de tomar medicamentos. Estos medicamentos pueden ser tomados por vía oral, inyectados o aplicados directamente en la piel. Las reacciones pueden variar en su apariencia y causar diferentes tipos de lesiones en la piel."
121,cefalea tensional,"Trastorno de cefalea primaria común, que se caracteriza por dolor sordo, no pulsatil, difuso, tensional, de intensidad leve o moderada en la cabeza, cuero cabelludo o cuello. Los subtipos se clasifican por la frecuencia y severidad de los síntomas. No existe una causa clara, aunque se considera asociada a la contracción muscular y el estrés.","Tipo de dolor de cabeza muy frecuente que se nota como una presión o tensión alrededor de la cabeza, el cuello o el cuero cabelludo. No late ni pulsa, sino que se siente constante y puede ser leve o moderado. Suele durar desde unos minutos hasta varios días. Aunque no se conoce con exactitud por qué aparece, se relaciona con el estrés, el cansancio o la tensión en los músculos del cuello y la cabeza. No es peligroso, pero puede afectar al bienestar y a las actividades del día a día.","Es un tipo frecuente de dolor de cabeza que se siente como una presión o peso constante. Suele ser leve o moderado y puede afectar a la cabeza, el cuero cabelludo o el cuello. No late como otros dolores. A veces se relaciona con el estrés o la tensión muscular. Puede aparecer de forma ocasional o repetirse con cierta frecuencia. No se conoce una causa única clara.","Trastorno común que afecta la cabeza, causando dolor sordo y no muy intenso. Este dolor es como un peso o una tensión en la cabeza, cuero cabelludo o cuello. No se sabe con certeza qué causa esto, pero se cree que está relacionado con el estrés y las contracciones musculares del cuerpo.","La cefalea tensional es un dolor de cabeza común que se caracteriza por un dolor constante y difuso en la cabeza. Este dolor es generalmente sordo y no pulsatil, y puede ocurrir con diferentes grados de intensidad. La causa exacta es desconocida, pero se cree que está relacionado con la actividad muscular y el estrés."
122,colestasis intrahepática,"Trastorno del flujo biliar debido a daño de los hepatocitos, los canalículos biliares o los conductos biliares intrahepáticos.","Situación en la que el hígado no puede mover correctamente la bilis, un líquido que produce para ayudar a la digestión. Esto ocurre porque las pequeñas vías por las que circula la bilis dentro del propio hígado están dañadas o no funcionan bien. Como resultado, la bilis se acumula en el hígado en lugar de avanzar hacia el intestino, lo que puede causar síntomas como picor en la piel o color amarillento en la piel y los ojos.","Es un problema del hígado en el que un líquido necesario para la digestión no puede salir bien. Esto ocurre porque las células del hígado o los pequeños conductos por donde circula ese líquido están dañados o no funcionan correctamente. Como resultado, el líquido se acumula en el hígado y puede pasar a la sangre, lo que puede causar molestias y otros síntomas.","Una condición médica en la que el flujo de bile dentro del hígado se bloquea o se vuelve lento debido al daño de ciertas células y estructuras. Esto puede causar problemas en la digestión y otros síntomas relacionados con el hígado. La causa principal es el daño a los hepatocitos, las tuberías que contienen bile o las estructuras que conectan las tuberías con el intestino delgado. Esta condición requiere atención médica para tratar la causa subyacente y mejorar la digestión.",La colestasis intrahepática es un problema que puede ocurrir cuando hay un bloqueo del flujo de la bilis dentro del hígado. Esto se debe a que los hepatocitos (células del hígado) o los canales y conductos biliares internos están dañados.
123,área de Broca,Región funcional neuroanatómica del giro frontal inferior que consiste en la porción opercular y la porción triangular. Es importante en la producción del habla y el lenguaje. Las lesiones en el área de Broca se asocian con afasia de Broca y apraxias.,"Zona del cerebro situada en la parte frontal izquierda que controla la capacidad de hablar y expresar palabras con coherencia. Cuando esta zona se daña, por ejemplo tras un ictus, la persona puede tener dificultades para hablar con fluidez o construir frases, aunque suele entender bien lo que le dicen. Su nombre viene del médico francés Paul Broca, quien la identificó en el siglo XIX.","Zona del cerebro situada en la parte frontal que ayuda a formar palabras y a hablar con sentido. Permite organizar los sonidos y construir frases para expresar ideas. Cuando esta zona se daña, la persona entiende en gran parte lo que oye, pero le cuesta hablar con fluidez y encontrar las palabras adecuadas.","El área funcional responsable de la formación de las palabras y el orden de los sonidos en nuestra lengua es la región del giro frontal inferior, específicamente la porción opercular y triangular. Esta área es crucial para la producción del habla y el lenguaje, y cualquier daño a esta zona puede afectar nuestro capacidad para comunicarnos correctamente.",La región llamada Área de Broca en el cerebro es crucial para producir el habla y entender el lenguaje. Se ubica en el giro frontal inferior y está involucrada en los procesos relacionados con la producción de palabras y las habilidades del lenguaje.
124,líquido pericárdico,Líquido acuoso producido en el pericardio seroso y visceral que rodea la superficie del corazón.,"Sustancia líquida y transparente, similar al agua, que se encuentra en el espacio que rodea al corazón. Este líquido está producido por las capas de tejido que envuelven el corazón, y su función es protegerlo y permitir que se mueva con libertad al latir, reduciendo el roce entre sus superficies.","Es un líquido claro que se encuentra en una fina bolsa que envuelve el corazón. Su función es protegerlo y permitir que se mueva al latir sin rozar otras partes del cuerpo. Normalmente hay poca cantidad, suficiente para facilitar este movimiento y evitar daños.",El líquido que cubre el corazón es una sustancia acuosa que se produce naturalmente. Suele aparecer como un pequeño cuadro transparente o poco más oscuro que el resto de la piel alrededor del corazón. Este líquido es normal en personas sanas y puede variar de tamaño según las condiciones físicas.,"El líquido pericárdico es un líquido acuoso que se encuentra alrededor del corazón, protegiéndolo de los movimientos y los golpes del cuerpo."
125,maniobra de valsalva,Esfuerzo espiratorio forzado contra la glotis cerrada.,"Acción que consiste en intentar soplar o empujar aire hacia fuera con fuerza mientras se mantiene la boca y la nariz cerradas, como si se fuera a hacer fuerza sin dejar salir el aire. Esto aumenta la presión dentro del pecho y el abdomen. Se usa en medicina para explorar cómo reacciona el corazón y los vasos sanguíneos ante ese aumento de presión, y también ocurre de forma natural al hacer esfuerzos como toser, estornudar o ir al baño.","Acción de intentar expulsar aire con fuerza mientras se mantiene la garganta cerrada, como cuando se hace presión al toser o al soplar sin dejar salir el aire. Este gesto aumenta la presión dentro del pecho y del abdomen durante unos segundos. A veces se usa en medicina o en situaciones cotidianas, por ejemplo, al hacer fuerza para levantar algo o al ir al baño.","La ""maniobra de valsalva"" se refiere a una acción simple, pero importante para mantener el apoyo respiratorio. Se trata de hacer un esfuerzo fuerte y constante en la parte del cuerpo donde se abren los pulmones (la glotis), con los pulmones ya llenos de aire. Esta acción ayuda a aumentar la presión en la tráquea, lo que puede ser útil en ciertas situaciones médicas. Es una técnica básica y fácil de aprender, pero es importante hacerla correctamente para evitar daños o complicaciones.",La maniobra de Valsalva es un esfuerzo que implica cerrar la glotis (la parte posterior de la garganta) y luego usar la fuerza de los músculos para expulsar aire por la nariz o la boca. Se utiliza para aliviar la presión en las vías aéreas y puede ayudar a restaurar el flujo de aire normal.
126,escala visual analógica,"Escala subjetiva de respuestas psicométricas que se utiliza para medir fenómenos fisiológicos o conductuales, basada en un gradiente numérico lineal o alternativas sí/no.","Herramienta de medición que se usa para que una persona indique, de forma sencilla, la intensidad de lo que siente, como el dolor o el cansancio. Consiste en una línea recta con números del 0 al 10, donde el 0 significa que no hay molestia y el 10 representa la molestia más intensa posible. La persona señala el número que mejor describe cómo se encuentra en ese momento. En algunos casos, la escala solo ofrece dos opciones de respuesta: sí o no.","Es una forma sencilla de expresar cómo se siente una persona, como el nivel de dolor. Consiste en una línea, normalmente de 0 a 10, donde un extremo significa “nada” y el otro “mucho”. La persona marca un punto en la línea según su sensación en ese momento. Sirve para medir cambios y comparar resultados de manera rápida.","### Definición simple de la escala visual analógica ###

La escala visual analógica es una herramienta utilizada para medir cambios subjetivos en respuesta a estímulos fisiológicos o conductuales. Se compone de un gradiente numérico lineal, donde el usuario evalúa su nivel de respuesta mediante una opción o una marca en un punto específico del gradiente. Estas escalas permiten capturar la percepción subjetiva de cada persona de manera objetiva y fiable.","La escala visual analógica es una herramienta para evaluar cosas como el dolor o el estado de ánimo. Es como una escala de 1 a 10, donde 1 es el peor y 10 es el mejor. Puedes usarla para expresar cuánto estás experimentando un determinado fenómeno, como dolor o alegría."
127,síndrome de hiperestimulación ovárica,"Complicación de la inducción de la ovulación en el tratamiento de la infertilidad. Se clasifica de acuerdo a la gravedad de los síntomas, que incluyen aumento del ovario, múltiples folículos ováricos (folículo ovárico), quistes ováricos, ascitis y edema generalizado. Un sindrome totalmente manifestado puede conducir a insuficiencia renal, dificultad respiratoria e incluso la muerte. El aumento de la permeabilidad capilar está provocado por las sustancias vasoactivas, como los factores de crecimiento endotelial vascular, secretados por los ovarios hiperestimulados.","Reacción grave del cuerpo que puede ocurrir cuando una persona recibe medicamentos para estimular los ovarios durante un tratamiento de fertilidad. Los ovarios se hinchan en exceso y producen demasiados óvulos a la vez, lo que provoca acumulación de líquido en el abdomen y otras partes del cuerpo. Los síntomas van de leves a muy graves. En los casos más serios, puede afectar al funcionamiento de los riñones y los pulmones, y llegar a ser potencialmente mortal.","Es una reacción del cuerpo que puede ocurrir durante tratamientos para ayudar a quedarse en embarazo. Los ovarios responden de forma exagerada, aumentan de tamaño y pueden formar bolsas de líquido. Esto puede causar hinchazón, dolor abdominal y acumulación de líquidos en el cuerpo. En casos graves, puede dificultar la respiración o afectar a otros órganos. Se debe vigilar de cerca para tratarla a tiempo y evitar complicaciones.","El síndrome es una complicación que puede ocurrir durante ciertos tratamientos destinados a mejorar la fertilidad. Se produce cuando los ovarios reciben demasiada estimulación, lo que lleva a un aumento excesivo de la producción de folículos ováricos. Esto puede causar problemas como el ascitis y el edema generalizado. Si este síndrome avanza, puede afectar gravemente otros órganos del cuerpo, incluso provocando la muerte en casos extremos.","El síndrome de hiperestimulación ovárica es una complicación del tratamiento de la infertilidad que puede ocurrir cuando los ovarios producen demasiada cantidad de un hormona llamado estrógeno. Esto puede llevar a problemas como el aumento del tamaño del ovario, formación de líquido en el abdomen y dificultades respiratorias graves."
128,artritis idiopática juvenil poliarticular,"Tipo poco frecuente de artritis idiopática juvenil caracterizado por artritis de inicio anterior a los 16 años de edad que persiste durante más de seis semanas y que afecta al menos a cinco articulaciones durante los primeros seis meses de la enfermedad. Deben excluirse otras posibles causas de inflamación articular. Se distingue entre dos subgrupos de la enfermedad en base a la presencia o ausencia del factor reumatoide. Ambos subgrupos son más frecuentes en las niñas y pueden asociarse a fiebre baja, pérdida de peso, anemia, hepatoesplenomegalia moderada y retraso leve del crecimiento.","Enfermedad del sistema inmunitario que aparece en la infancia o la adolescencia y provoca inflamación en cinco o más articulaciones —como rodillas, muñecas o dedos— durante al menos seis semanas. Se desconoce su causa exacta. Puede acompañarse de fiebre leve, cansancio, pérdida de peso o un crecimiento más lento de lo habitual. Es más frecuente en personas de sexo femenino. Para diagnosticarla, el personal médico debe descartar antes otras enfermedades que también pueden causar inflamación en las articulaciones.","Es una enfermedad que aparece en la infancia y causa inflamación en varias articulaciones, como manos, rodillas o pies. Suele empezar antes de los 16 años y dura más de seis semanas. Para considerarla, deben verse afectadas al menos cinco articulaciones al inicio. Puede provocar dolor, hinchazón y dificultad para moverse. A veces también se acompaña de cansancio, fiebre ligera o menor crecimiento. No se conoce su causa y es importante descartar otras enfermedades con síntomas parecidos.","Una enfermedad que afecta a varias articulaciones de un niño o adolescente antes de los 16 años. La inflamación persiste durante más de seis semanas y se debe únicamente a la causa subyacente, no a otra condición médica. Hay dos versiones principales de esta enfermedad: una sin el factor reumatoide y otra con él. Ambas son más comunes en las niñas y pueden causar síntomas como fiebre baja, pérdida de peso o anemia.",La artritis idiopática juvenil poliarticular es un tipo de artritis que se presenta en niños y adolescentes menores de 16 años y que afecta varias articulaciones. La enfermedad se caracteriza por un dolor y inflamación de las articulaciones que puede durar más de seis semanas.
129,taquicardia supraventricular,Expresión genérica para cualquier taquicardia que se origina por encima del haz de His.,"Alteración del ritmo del corazón en la que este late demasiado rápido. Se produce porque una señal eléctrica anormal surge en la parte superior del corazón, en lugar de seguir el camino habitual que regula los latidos. Esta señal hace que el corazón se acelere de forma repentina, lo que puede causar sensación de palpitaciones, mareo o falta de aire. Generalmente no pone en peligro la vida, aunque conviene consultar a un médico para valorar el tratamiento más adecuado.","Es un latido del corazón que va demasiado rápido y empieza en la parte alta del corazón. Puede aparecer de forma repentina y hacer que la persona note palpitaciones fuertes, falta de aire o mareo. Suele durar poco, aunque a veces necesita valoración médica para controlarlo.","Una frecuencia cardíaca rápida es común en la vida diaria. Sin embargo, cuando este aumento se produce repentinamente y sin causa aparente, puede ser preocupante. Esto se debe a que el corazón late demasiado rápido para generar suficiente sangre. Esta condición ocurre cuando las válvulas del interior del corazón permiten una salida prematura de sangre al ventrículo superior, provocando un aumento en la frecuencia cardíaca. Se trata con medicamentos o cambios en el estilo de vida para reducir esta velocidad anormal.",La taquicardia supraventricular es un ritmo cardíaco irregular que comienza en las partes superiores del corazón. Este tipo de taquicardia se caracteriza por una frecuencia cardíaca mayor de 100 latidos por minuto.
130,contractura muscular,"Cortamiento prolongado del músculo u otro tejido blando alrededor de una articulación, que impide el movimiento de dicha articulación.","Tensión involuntaria y persistente en un músculo que hace que este se quede rígido o acortado sin poder relajarse con normalidad. Esa rigidez puede dificultar o impedir mover la zona del cuerpo afectada, como el cuello, la espalda o una extremidad. Suele causar dolor y aparece por esfuerzo excesivo, mala postura o exposición al frío.","Es una situación en la que un músculo se queda encogido y tenso durante un tiempo. Esto hace que la zona esté dura, duela y cueste moverla con normalidad. Suele aparecer por esfuerzo, mala postura o estrés, y limita el movimiento de la parte del cuerpo afectada.","Un cortamiento o encogimiento permanente en un músculo o tejido blando cerca de una articulación puede limitar el movimiento. Esto puede suceder debido a lesiones, enfermedades o condiciones crónicas. Puede afectar la flexibilidad y el movimiento de diferentes partes del cuerpo, como las manos, piernas o espalda. En algunos casos, un tratamiento médico puede ayudar a solucionarlo, mientras que en otros, pueden ser necesarias modificaciones en el estilo de vida para manejar los síntomas.","Una contractura muscular es un efecto que causa que un músculo o tejido blando se vuelva rígido alrededor de una articulación, lo que impide que se mueva correctamente."
131,efecto tóxico,"Interferencia en las funciones corporales normales causada por exposición a través de ingestión, inhalación, absorción o inyección, a una sustancia (ej. producto medicinal, producto de limpieza, químico industrial, derivados de plantas o animales) en cantidades nocivas para la salud.","Daño o alteración que sufre el cuerpo cuando entra en contacto con una sustancia perjudicial para la salud. Esto puede ocurrir al tragar, respirar o tocar dicha sustancia, o al recibirla mediante una inyección. Puede tratarse de un medicamento, un producto de limpieza, una sustancia industrial o algo derivado de plantas o animales. El cuerpo deja de funcionar con normalidad porque la cantidad recibida supera lo que el organismo puede tolerar sin sufrir daño.","Alteración del funcionamiento normal del cuerpo que ocurre cuando una sustancia entra en el organismo en una cantidad dañina. Puede suceder al tragarla, respirarla, tocarla o al inyectarse. Puede causar molestias, daño en órganos o empeorar la salud, según la cantidad y el tipo de sustancia, como medicamentos mal usados, productos de limpieza o sustancias químicas.","La exposición a ciertas sustancias puede afectar negativamente nuestras funciones corporales normales. Cuando una sustancia se ingiere, inhala, se absorbe o se inyecta y está presente en cantidades que pueden dañar nuestra salud, se produce un efecto tóxico. Esto puede causar problemas de salud graves, desde dolores de cabeza y náuseas hasta enfermedades más serias como el cáncer o la insuficiencia renal. Es importante evitar esta exposición y tomar medidas de precaución al manipular sustancias desconocidas.","Un efecto tóxico es cuando una sustancia, como un medicamento o un químico, interrumpe el funcionamiento normal del cuerpo, causando daños a la salud. Esto puede suceder por ingerir, respirar o absorber la sustancia en cantidades nocivas."
132,dedo en gatillo,Discapacidad dolorosa de la mano que afecta a los dedos de la mano o del pie. Está causada por pinzamiento mecánico de los tendones flexores de los dedos cuando pasan por una polea retinacular estrechada a nivel de la cabeza de los metacarpianos. Puede producirse estrechamiento de la vaina y metaplasia fibrocartilaginosa y pueden formarse nódulos.,"Afección dolorosa que aparece en los dedos de la mano cuando un tendón —el cordón que une el músculo al hueso y permite doblar el dedo— queda atrapado al pasar por un canal demasiado estrecho. Esto hace que el dedo se quede bloqueado en posición doblada y, al intentar estirarlo, produzca un chasquido o sensación de enganche, como si se accionara el gatillo de un arma. Puede ir acompañada de dolor e hinchazón en la base del dedo afectado.","Es una afección de la mano en la que uno o varios dedos se quedan atascados al doblarse. Puede causar dolor y una sensación de “clic” al mover el dedo. Ocurre porque el tendón, que ayuda a doblar el dedo, no se desliza bien dentro de su canal, que se estrecha o se inflama. A veces aparece un pequeño bulto. El dedo puede quedarse bloqueado y luego soltarse de forma brusca.","Es un dolor en la mano o el pie debido a la contracción excesiva de ciertas tendones que conectan los huesos. Esto puede ocurrir cuando las tendones pasan por una parte estrecha, como una polea, y se comprimen demasiado. El dolor puede ser intenso y causar dificultad para moverse. En algunos casos, puede llevar a cambios en la forma de los dedos o huesos.",La discapacidad del dedo en gatillo es un problema que puede afectar los dedos de la mano o del pie. Esta discapacidad se debe a un mal funcionamiento de los tendones responsables de flexionar los dedos.
133,accidente cerebrovascular isquémico,"Accidente cerebrovascular debido a isquemia encefálica que provoca la interrupción o reducción del flujo sanguíneo a una parte del cerebro. Cuando la obstrucción se debe a un coágulo de sangre formado dentro de un vaso sanguíneo cerebral, se trata de un accidente cerebrovascular trombótico. Cuando la obstrucción se forma en otro lugar y se mueve para bloquear un vaso sanguíneo cerebral, se denomina accidente cerebrovascular embólico. El accidente cerebrovascular al despertar se refiere al accidente cerebrovascular isquémico que ocurre durante el sueño, mientras que el accidente cerebrovascular criptogénico se refiere al accidente cerebrovascular isquémico de origen desconocido.","Situación de emergencia médica que ocurre cuando una arteria del cerebro se bloquea y deja de llegar suficiente sangre a una zona de ese órgano. Sin sangre, las células del cerebro no reciben el oxígeno que necesitan y pueden dañarse en pocos minutos. El bloqueo puede deberse a un coágulo que se forma en el propio cerebro o a uno que viaja desde otra parte del cuerpo. A veces ocurre durante el sueño y, en otros casos, no se conoce la causa exacta.","Ocurre cuando un vaso del cerebro se tapa y la sangre no llega bien a una zona. Al faltar oxígeno, esa parte puede dañarse y dejar de funcionar. El tapón suele ser un coágulo que se forma en el propio vaso o que llega desde otra parte del cuerpo. Puede aparecer mientras la persona duerme y, en algunos casos, no se conoce la causa exacta. Es una urgencia y necesita atención médica rápida.","El accidente cerebrovascular es un problema grave que ocurre cuando la sangre no fluye bien a ciertas partes del cerebro. Esto puede pasar porque hay algo bloqueando el camino, como una placa de grasa, o porque la sangre se detiene por alguna razón. El resultado es daño permanente en el cerebro y puede causar discapacidad o incluso la muerte si no recibe ayuda médica a tiempo.",Un accidente cerebrovascular isquémico es un problema del flujo sanguíneo en el cerebro que puede provocar un daño temporal o permanente en las funciones del cerebro. Este tipo de accidentes se produce cuando hay una interrupción o reducción del flujo sanguíneo a una parte del cerebro.
134,urticaria crónica,Ronchas (urticaria) y/o angioedema que presentan síntomas diarios que duran más de 6 semanas. Puede clasificarse en urticaria crónica espontánea y crónica inducible dependiendo de si un desencadenante específico puede estar relacionado con el desarrollo de una reacción vascular.,"Enfermedad de la piel en la que aparecen bultos rojizos con picor, similares a los que deja una ortiga, que pueden ir acompañados de hinchazón en zonas como los labios, los párpados o las manos. Estos síntomas se repiten casi cada día durante más de seis semanas. En algunos casos, los síntomas aparecen sin causa conocida; en otros, hay algo concreto que los provoca, como el frío, el calor o la presión sobre la piel.","Aparición repetida de ronchas en la piel, a veces con hinchazón de labios, párpados u otras zonas, que produce picor o escozor y dura más de seis semanas. Puede salir sin causa clara o tras ciertos estímulos, como el frío, el calor, la presión o algunos alimentos. Los síntomas pueden ir y venir a lo largo del día. No suele ser contagioso, pero puede afectar al bienestar y al sueño. Es recomendable consultar con personal sanitario para valorar el caso y orientar el tratamiento.","La urticaria crónica es una condición que causa ronchas o angioedema diarios durante más de 6 semanas. Esto significa que los síntomas reaparecen y no desaparecen con el tiempo, lo que puede ser un problema para la calidad de vida. Estas reacciones cutáneas pueden ocurrir sin una causa aparente y pueden variar de persona a persona. Es importante buscar atención médica si estos síntomas persisten, ya que hay tratamientos disponibles para ayudar a controlarlos.","La urticaria crónica es un problema de la piel en que aparecen ronchas o hinchazón ( angioedema) de forma regular, con síntomas que persisten por más de seis semanas. Se puede dividir en dos tipos: la crónica espontánea, sin causa conocida, y la crónica inducible, que se asocia a un desencadenante específico, como un alérgeno o un medicamento."
135,condromalacia rotuliana,"Una degeneración de cartílago articular de la rótula, causado por una disminución de glucosaminoglicanos sulfatados en la sustancia de la tierra. Cuando es acompañado por el dolor, algunas veces se considera parte de o se confunde con el síndrome de dolor patelofemoral.","Lesión que afecta al tejido que recubre la parte interior de la rótula, el hueso situado en la parte delantera de la rodilla. Este tejido, que normalmente actúa como una capa protectora y facilita el movimiento, se deteriora y se vuelve más blando con el tiempo. Como consecuencia, puede aparecer dolor en la rodilla, especialmente al subir o bajar escaleras, al ponerse en cuclillas o tras estar mucho tiempo sentado con las rodillas dobladas.","Desgaste y reblandecimiento del material liso que recubre la parte trasera de la rótula, el hueso delantero de la rodilla. Este material ayuda a que la articulación se mueva sin fricción. Cuando se deteriora, puede aparecer dolor al doblar la rodilla, subir o bajar escaleras o estar mucho tiempo sentado. A veces se relaciona con otros problemas de dolor en la parte anterior de la rodilla.","Es un problema que afecta a las articulaciones del pie, especialmente la rótula. Ocurre cuando el cartílago articular, que actúa como amortiguador en esta zona, se vuelve demasiado firme y dura. Esto puede causar dolor y molestia. A veces, también se siente una sensación de rigidez o limitación al moverse los pies. En algunos casos, el dolor es muy intenso y puede afectar la vida diaria.","La condromalacia rotuliana es un problema de los cartílagos del pie. Se debe a un cambio en la composición de los cartílagos, lo que puede ocasionar dolor en la zona. En algunos casos, se asocia con el dolor en la zona de la rótula."
136,cardiopatía reumática,"Manifestaciones cardiacas de las afecciones reumáticas sistémicas, como la fiebre reumática. La cardiopatía reumática puede afectar a cualquier parte del corazón, con más frecuencia las válvulas cardiacas y el endocardio.","Enfermedad del corazón causada por una infección de garganta mal tratada, generalmente producida por una bacteria llamada estreptococo. Si esta infección no recibe el tratamiento adecuado, el propio sistema de defensa del cuerpo puede dañar el corazón por error, especialmente las pequeñas puertas internas que regulan el flujo de sangre entre sus cavidades. Puede afectar a personas de cualquier edad, aunque es más frecuente en la infancia y la adolescencia.","Es una enfermedad que aparece cuando una infección previa, como una angina mal curada, provoca una reacción del cuerpo que daña el corazón. Este daño suele afectar sobre todo a las válvulas, que son las partes que regulan el paso de la sangre dentro del corazón. Con el tiempo, puede dificultar el buen funcionamiento del corazón y causar problemas para respirar o cansancio. Es más frecuente en personas que tuvieron fiebre reumática sin tratamiento adecuado.","Es un problema en el corazón que se desarrolla debido a una infección temprana por gérmenes bacterianos. Los síntomas pueden variar y pueden afectar cualquier parte del corazón, pero más comúnmente ocurren problemas con las válvulas que permiten la sangre fluir de manera normal. Esto puede causar dolores en el pecho o tos que duran meses o incluso años.","La cardiopatía reumática es un problema del corazón causado por enfermedades reumáticas generales, como la fiebre reumática. Aparece síntomas relacionados con el corazón, principalmente en las válvulas o las paredes del corazón."
137,cardiotocografía,Monitoreo de la frecuencia cardiaca antes del nacimiento con el objeto de evaluar la prematuridad inminente en relación con el patrón o la intensidad de la contracción uterina antes del parto.,"Prueba médica que se realiza durante el embarazo para vigilar al bebé antes de su nacimiento. Consiste en medir los latidos del corazón del bebé y, al mismo tiempo, registrar la frecuencia y la fuerza con la que el útero se contrae. Esta información ayuda a las personas responsables de la atención médica a saber si el bebé está bien y si el parto podría producirse antes de lo previsto.",Prueba que se realiza al final del embarazo para registrar el latido del bebé y las contracciones del útero. Sirve para comprobar si el bebé está bien y para ver si el parto puede empezar pronto. Se hace colocando sensores en el abdomen de la persona embarazada y no causa dolor.,La cardiotocografía es un examen médico que registra cómo late tu corazón durante el embarazo. Se hace para saber si estás lista para dar a luz pronto. El monitoreo incluye dos partes: grabar cómo late tu corazón y medir la contracción de tu útero. Esto nos ayuda a saber si hay algún problema con tu bebé o si necesitas atención médica especial. Es un método seguro y común para asegurarse de que todo salga bien durante el parto.,La cardiotocografía es un método para controlar la frecuencia cardíaca del bebé durante el embarazo. Ayuda a determinar si el bebé está a plazo o si hay riesgo de prematridad.
138,cardiomiopatía alcohólica,"Enfermedad del miocardio producida por el consumo crónico y excesivo de alcohol. El daño miocárdico puede estar causado por: (1) efecto tóxico del alcohol, (2) malnutrición en alcohólicos tales como deficiencia de tiamina, o (3) efecto tóxico de los aditivos de las bebidas alcohólicas como el cobalto. Esta enfermedad suele manifestarse por disnea y palpitaciones con cardiomegalia e insuficiencia cardiaca congestiva (insuficiencia cardíaca).","Enfermedad del corazón causada por beber alcohol en grandes cantidades durante mucho tiempo. El alcohol daña el músculo del corazón, lo que hace que este órgano no pueda bombear la sangre correctamente. Como consecuencia, la persona puede sentir que le falta el aire, notar que el corazón late de forma irregular y tener el corazón más grande de lo normal. Si no se trata, puede provocar una situación grave en la que el corazón deja de funcionar bien.","Es una enfermedad del corazón causada por beber alcohol en exceso durante mucho tiempo. El alcohol daña el músculo del corazón y hace que funcione peor. Como resultado, el corazón se agranda y no puede bombear la sangre con fuerza suficiente. Esto puede provocar falta de aire, cansancio y latidos irregulares. También influye una mala alimentación relacionada con el consumo de alcohol.","Enfermedad del corazón causada por beber mucho alcohol durante mucho tiempo. El alcohol daña el músculo del corazón, que puede hacerlo debilitar y no trabajar correctamente. Esto puede causar dificultades para respirar, latir con fuerza y sentir palpitaciones.","La cardiomiopatía alcohólica es una enfermedad del corazón causada por el consumo excesivo de alcohol. El exceso de alcohol puede dañar el corazón, provocando dificultades para respirar y latidos del corazón más fuertes."
139,válvula del corazón,Colgajos de tejidos que evitan la regurgitación de la sangre desde los ventrículos cardiacos hacia las aurículas cardíacas o desde la arteria pulmonar o la aorta hacia los ventrículos.,"Pequeña estructura situada dentro del corazón que funciona como una puerta de un solo sentido. Se abre para dejar pasar la sangre de una zona del corazón a otra y se cierra para evitar que la sangre vuelva hacia atrás. Gracias a este mecanismo, la sangre siempre circula en la dirección correcta y el corazón puede bombearla de forma eficaz hacia el resto del cuerpo.",Pequeñas “puertas” dentro del músculo que impulsan la sangre. Se abren para dejarla pasar en el sentido correcto y se cierran para evitar que vuelva hacia atrás. Así ayudan a que la sangre circule de forma ordenada por las distintas cavidades y hacia las arterias.,"### Término y definición que simplificar ###
Un colgajo de tejido en forma de válvula se encuentra dentro del corazón. Su función es evitar que la sangre fluya hacia atrás desde el corazón, garantizando que se propague correctamente hacia todo el cuerpo. Estos colgajos ayudan a mantener un flujo constante y adecuado de la sangre.",La válvula del corazón es un conjunto de tejidos que funciona como un tapón en el corazón. Su función es evitar que la sangre fluya hacia áreas donde no debe ir.
